ID,Name,Description,CLTS_BIPA,CLTS_Name
oe_u0254u0065u032F,ɔe̯,,ɔe̯,from rounded open-mid back to non-syllabic unrounded close-mid front diphthong
o_u0275u02D0,ɵː,,ɵː,long rounded close-mid central vowel
k_u006Bu02BC,kʼ,,kʼ,voiceless velar ejective stop consonant
ai_u0061u026A,aɪ,,aɪ,from unrounded open front to unrounded near-close near-front diphthong
ui_u0075u0069u032F,ui̯,,ui̯,from rounded close back to non-syllabic unrounded close front diphthong
dh_u0064u02B0,dʰ,,dʰ,aspirated voiced alveolar stop consonant
ddh_u0064u0064u02B1,ddʱ,,ddʱ,from voiced alveolar stop to breathy voiced alveolar stop cluster
v_u0076,v,,v,voiced labio-dental fricative consonant
oi_u0254u0069,ɔi,,ɔi,from rounded open-mid back to unrounded close front diphthong
rj_u0280u02B2,ʀʲ,,ʀʲ,palatalized voiced uvular trill consonant
tsh_u0288u0282u02B0,ʈʂʰ,,ʈʂʰ,aspirated voiceless retroflex sibilant affricate consonant
ea_u025Bu02D0u0252u032Fu02E4,ɛːɒ̯ˤ,,,
i_u0069u02D0u02D0,iːː,,iːː,ultra-long unrounded close front vowel
iu_u026Au032Fu0075u031E,ɪ̯u̞,,ɪ̯u̞,from non-syllabic unrounded near-close near-front to lowered rounded close back diphthong
w_u0077,w,,w,voiced labio-velar approximant consonant
mvw_u0271u0076u02B7,ɱvʷ,,,
b_u0062u0325,b̥,,b̥,devoiced voiced bilabial stop consonant
tg_u0074u032Au02E0,t̪ˠ,,t̪ˠ,velarized voiceless dental stop consonant
ia_u0259u026Au0061,əɪa,,,
au_u0061u028A,aʊ,,aʊ,from unrounded open front to rounded near-close near-back diphthong
tw_u0288u02B7,ʈʷ,,ʈʷ,labialized voiceless retroflex stop consonant
i_u026Au0303,ɪ̃,,ɪ̃,nasalized unrounded near-close near-front vowel
p_u0070u003A,p:,,pː,long voiceless bilabial stop consonant
oi_u00F8u0069,øi,,øi,from rounded close-mid front to unrounded close front diphthong
dzh_u0064u007Au02B1,dzʱ,,dzʱ,breathy voiced alveolar sibilant affricate consonant
ea_u0065u0251,eɑ,,eɑ,from unrounded close-mid front to unrounded open back diphthong
rw_u0281u02B7,ʁʷ,,ʁʷ,labialized voiced uvular fricative consonant
i_u0069u02D0,iː,,iː,long unrounded close front vowel
dz_u0064u003Au0292,d:ʒ,,,
ui_u0075u02D0u0069,uːi,,uːi,from long rounded close back to unrounded close front diphthong
ou_u0254u0075u02D0,ɔuː,,ɔuː,from rounded open-mid back to long rounded close back diphthong
dh_u0064u02B0u02D0,dʰː,,dʰː,aspirated long voiced alveolar stop consonant
u_u0075u0330,ṵ,,ṵ,creaky rounded close back vowel
_u028C,ʌ,,ʌ,unrounded open-mid back vowel
t_u0074u0027,t',,tʼ,voiceless alveolar ejective stop consonant
ae_u00E6u0303u02D0,æ̃ː,,æ̃ː,long nasalized unrounded near-open front vowel
k_u006Bu0027,k',,kʼ,voiceless velar ejective stop consonant
gj_u0067u02B2,gʲ,,gʲ,palatalized voiced velar stop consonant
ch_u0063u02B0,cʰ,,cʰ,aspirated voiceless palatal stop consonant
l_u006Cu02D0,lː,,lː,long voiced alveolar lateral approximant consonant
_u0295,ʕ,,ʕ,voiced pharyngeal fricative consonant
c_u0255,ɕ,,ɕ,voiceless alveolo-palatal sibilant fricative consonant
u_u0075u031Eu02D0,u̞ː,,u̞ː,long lowered rounded close back vowel
b_u0299u0325,ʙ̥,,ʙ̥,devoiced voiced bilabial trill consonant
ya_u0079u0061,ya,,ya,from rounded close front to unrounded open front diphthong
t_u0074u02E4u02D0,tˤː,,tˤː,pharyngealized long voiceless alveolar stop consonant
oe_u00F8u0065,øe,,øe,from rounded close-mid front to unrounded close-mid front diphthong
ld_u006Cu0064,ld,,,
u_u0289u02D0,ʉː,,ʉː,long rounded close central vowel
tj_u0074u02B2u02D0,tʲː,,tʲː,palatalized long voiceless alveolar stop consonant
ng_u207Fu0067,ⁿg,,ⁿg,pre-nasalized voiced velar stop consonant
u_u0075u0303u02E4,ũˤ,,ũˤ,pharyngealized nasalized rounded close back vowel
oe_u0254u025Bu032F,ɔɛ̯,,ɔɛ̯,from rounded open-mid back to non-syllabic unrounded open-mid front diphthong
tsh_u0074u032Au0073u032Au02B0,t̪s̪ʰ,,ts̪ʰ,aspirated voiceless dental sibilant affricate consonant
ei_u0065u0259u026A,eəɪ,,,
e_u0258,ɘ,,ɘ,unrounded close-mid central vowel
m_u006D,m,,m,voiced bilabial nasal consonant
oa_u006Fu02D0u0252u032Fu0294,oːɒ̯ʔ,,,
bh_u0062u02B0,bʰ,,bʰ,aspirated voiced bilabial stop consonant
b_u0253,ɓ,,ɓ,voiced bilabial implosive consonant
z_u0291,ʑ,,ʑ,voiced alveolo-palatal sibilant fricative consonant
p_u0070u0027,p',,pʼ,voiceless bilabial ejective stop consonant
n_u006Eu0318,n̘,,,
h_u0068,h,,h,voiceless glottal fricative consonant
o_u00F8u02D1,øˑ,,øˑ,mid-long rounded close-mid front vowel
fg_u0066u02E0,fˠ,,fˠ,velarized voiceless labio-dental fricative consonant
mw_u006Du02B7,mʷ,,mʷ,labialized voiced bilabial nasal consonant
w_u0294u02B7u02D0,ʔʷː,,ʔʷː,labialized long voiceless glottal stop consonant
ou_u006Fu0075,ou,,ou,from rounded close-mid back to rounded close back diphthong
tth_u0288u0288u02B0,ʈʈʰ,,ʈʈʰ,from voiceless retroflex stop to aspirated voiceless retroflex stop cluster
wj_u0077u02B2,wʲ,,wʲ,palatalized voiced labio-velar approximant consonant
au_u0061u028Au0303,aʊ̃,,aʊ̃,from unrounded open front to nasalized rounded near-close near-back diphthong
o_u006Fu02D1,oˑ,,oˑ,mid-long rounded close-mid back vowel
sj_u0073u02B2,sʲ,,sʲ,palatalized voiceless alveolar sibilant fricative consonant
eg_u0065u02E0u02D0,eˠː,,eˠː,long velarized unrounded close-mid front vowel
t_u0288,ʈ,,ʈ,voiceless retroflex stop consonant
khw_u03C7u02B7,χʷ,,χʷ,labialized voiceless uvular fricative consonant
e_u025C,ɜ,,ɜ,unrounded open-mid central vowel
dz_u0064u007Au02D0,dzː,,dzː,long voiced alveolar sibilant affricate consonant
ua_u028Au02D0u0252u032Fu02E4,ʊːɒ̯ˤ,,ʊːɒ̯ˤ,from long rounded near-close near-back to pharyngealized non-syllabic rounded open back diphthong
e_u025Bu02D1,ɛˑ,,ɛˑ,mid-long unrounded open-mid front vowel
nggw_u014Bu0067u02B7,ŋgʷ,,ŋgʷ,from voiced velar nasal to labialized voiced velar stop cluster
a_u0250,ɐ,,ɐ,unrounded near-open central vowel
d_u0294u0064,ʔd,,ʔd,from voiceless glottal stop to voiced alveolar stop cluster
au_u0251u028A,ɑʊ,,ɑʊ,from unrounded open back to rounded near-close near-back diphthong
l_u006C,l,,l,voiced alveolar lateral approximant consonant
th_u0288u02B0,ʈʰ,,ʈʰ,aspirated voiceless retroflex stop consonant
z_u0290,ʐ,,ʐ,voiced retroflex sibilant fricative consonant
ngkw_u014Bu006Bu02B7,ŋkʷ,,ŋkʷ,from voiced velar nasal to labialized voiceless velar stop cluster
e_u0065u02D0u02D0,eːː,,eːː,ultra-long unrounded close-mid front vowel
aui_u0061u028Au026A,aʊɪ,,,
d_u0064u02E4u02D0,dˤː,,dˤː,pharyngealized long voiced alveolar stop consonant
nj_u0272u025F,ɲɟ,,ɲɟ,from voiced palatal nasal to voiced palatal stop cluster
o_u0254u02D0u02E4,ɔːˤ,,ɔˤː,long pharyngealized rounded open-mid back vowel
aeo_u00E6u006F,æo,,æo,from unrounded near-open front to rounded close-mid back diphthong
l_u026C,ɬ,,ɬ,voiceless alveolar lateral fricative consonant
ng_u014Bu02D0,ŋː,,ŋː,long voiced velar nasal consonant
iu_u0069u02D0u0075,iːu,,iːu,from long unrounded close front to rounded close back diphthong
a_u0250u031F,ɐ̟,,ɐ̟,advanced unrounded near-open central vowel
_u028Cu02D1,ʌˑ,,ʌˑ,mid-long unrounded open-mid back vowel
y_u028E,ʎ,,ʎ,voiced palatal lateral approximant consonant
tj_u0074u02B2,tʲ,,tʲ,palatalized voiceless alveolar stop consonant
d_u0064u032A,d̪,,d̪,voiced dental stop consonant
oi_u006Fu0303u0069,õi,,õi,from nasalized rounded close-mid back to unrounded close front diphthong
pg_u0070u02E0,pˠ,,pˠ,velarized voiceless bilabial stop consonant
u_u0264u02D0u02D0,ɤːː,,ɤː,long unrounded close-mid back vowel
ndz_u207Fu0064u0292,ⁿdʒ,,ⁿdʒ,pre-nasalized voiced post-alveolar affricate consonant
yo_u0079u006F,yo,,yo,from rounded close front to rounded close-mid back diphthong
kngw_u006Bu014Bu02B7,kŋʷ,,,
ds_u0064u02D0u0283,dːʃ,,,
i_u026Au033D,ɪ̽,,ɪ̽,mid-centralized unrounded near-close near-front vowel
y_u0079u0303,ỹ,,ỹ,nasalized rounded close front vowel
r_u0072u031D,r̝,,r̝,raised voiced alveolar trill consonant
tnw_u0288u0273u02B7,ʈɳʷ,,,
w_u026Fu02D0,ɯː,,ɯː,long unrounded close back vowel
wi_u0077u0069,wi,,,
we_u0077u025B,wɛ,,,
uu_u0264u0075,ɤu,,ɤu,from unrounded close-mid back to rounded close back diphthong
d_u0064u02E4,dˤ,,dˤ,pharyngealized voiced alveolar stop consonant
ndz_u006Eu0064u0291,ndʑ,,ndʑ,from voiced alveolar nasal to voiced alveolo-palatal sibilant affricate cluster
p_u0070,p,,p,voiceless bilabial stop consonant
mbj_u006Du0062u02B2,mbʲ,,mbʲ,from voiced bilabial nasal to palatalized voiced bilabial stop cluster
p_u0070u02BCu02D0,pʼː,,pʼː,long voiceless bilabial ejective stop consonant
w_u0077u028C,wʌ,,,
_u01C0,ǀ,,ǀ,voiceless dental click consonant
dzdzh_u0064u0292u0064u0292u02B1,dʒdʒʱ,,,
oo_u0254u006Fu032F,ɔo̯,,ɔo̯,from rounded open-mid back to non-syllabic rounded close-mid back diphthong
d_u0257,ɗ,,ɗ,voiced dental implosive consonant
n_u006Eu0294,nʔ,,nʔ,from voiced alveolar nasal to voiceless glottal stop cluster
_u0295u0294,ʕʔ,,,
jai_u006Au0061u0069u032F,jai̯,,,
a_u0061u02E4,aˤ,,aˤ,pharyngealized unrounded open front vowel
o_u006Fu02D0u02E4,oːˤ,,oˤː,long pharyngealized rounded close-mid back vowel
v_u0076u0329,v̩,,v̩,syllabic voiced labio-dental fricative consonant
i_u0069u0294,iʔ,,,
o_u006Fu02D0u02D0,oːː,,oːː,ultra-long rounded close-mid back vowel
ae_u0061u025B,aɛ,,aɛ,from unrounded open front to unrounded open-mid front diphthong
ya_u0079u0251,yɑ,,yɑ,from rounded close front to unrounded open back diphthong
ll_u026Du026D,ɭɭ,,,
nsw_u006Eu0073u02B7,nsʷ,,,
a_u0061u0303u02D0,ãː,,ãː,long nasalized unrounded open front vowel
tt_u0074u0074,tt,,tt,from voiceless alveolar stop to voiceless alveolar stop cluster
t_u0074u02E4,tˤ,,tˤ,pharyngealized voiceless alveolar stop consonant
v_u0076u0325,v̥,,v̥,devoiced voiced labio-dental fricative consonant
ea_u0065u0061u0303,eã,,eã,from unrounded close-mid front to nasalized unrounded open front diphthong
ae_u0061u0065,ae,,ae,from unrounded open front to unrounded close-mid front diphthong
dr_u0256u027D,ɖɽ,,,
oy_u0275u0079,ɵy,,ɵy,from rounded close-mid central to rounded close front diphthong
dz_u0064u035Cu007A,d͜z,,dz,voiced alveolar sibilant affricate consonant
ngw_u014Bu02B7,ŋʷ,,ŋʷ,labialized voiced velar nasal consonant
z_u0292,ʒ,,ʒ,voiced post-alveolar sibilant fricative consonant
nw_u0273u02B7,ɳʷ,,ɳʷ,labialized voiced retroflex nasal consonant
s_u0073u032A,s̪,,s̪,voiceless dental sibilant fricative consonant
e_u025B,ɛ,,ɛ,unrounded open-mid front vowel
_u0259,ə,,ə,unrounded mid central vowel
o_u0254u0303,ɔ̃,,ɔ̃,nasalized rounded open-mid back vowel
l_u006Cu0325,l̥,,l̥,devoiced voiced alveolar lateral approximant consonant
tsh_u0074u0073u02B0u02D0,tsʰː,,tsʰː,aspirated long voiceless alveolar sibilant affricate consonant
ae_u0061u025Bu032F,aɛ̯,,aɛ̯,from unrounded open front to non-syllabic unrounded open-mid front diphthong
q_u0071u02D0,qː,,qː,long voiceless uvular stop consonant
ow_u006Fu0077,ow,,,
_u0259u0324,ə̤,,ə̤,breathy unrounded mid central vowel
ph_u0070u02B0,pʰ,,pʰ,aspirated voiceless bilabial stop consonant
o_u006Fu0324u02D0,o̤ː,,o̤ː,long breathy rounded close-mid back vowel
s_u0283u033A,ʃ̺,,ʃ̺,voiceless apical post-alveolar sibilant fricative consonant
nh_u0273u02B1,ɳʱ,,ɳʱ,breathy voiced retroflex nasal consonant
dh_u0256u02D0u02B1,ɖːʱ,,ɖʱː,long breathy voiced retroflex stop consonant
fh_u0066u02B0,fʰ,,fʰ,aspirated voiceless labio-dental fricative consonant
th_u0074u02B0u02D0,tʰː,,tʰː,aspirated long voiceless alveolar stop consonant
z_u007Au02D0,zː,,zː,long voiced alveolar sibilant fricative consonant
rj_u027Eu02B2,ɾʲ,,ɾʲ,palatalized voiced alveolar tap consonant
mm_u006Du006D,mm,,,
ntsh_u004Eu0074u032Au0073u032Au02B0,Nt̪s̪ʰ,,,
aeu_u00E6u0075u032F,æu̯,,æu̯,from unrounded near-open front to non-syllabic rounded close back diphthong
_u0295u02D0,ʕː,,ʕː,long voiced pharyngeal fricative consonant
l_u026Cu02D0,ɬː,,ɬː,long voiceless alveolar lateral fricative consonant
th_u0074u02B0,tʰ,,tʰ,aspirated voiceless alveolar stop consonant
a_u0250u031D,ɐ̝,,ɐ̝,raised unrounded near-open central vowel
tsh_u0074u0283u02B0u02D0,tʃʰː,,tʃʰː,aspirated long voiceless post-alveolar sibilant affricate consonant
n_u0272u030A,ɲ̊,,ɲ̊,devoiced voiced palatal nasal consonant
zg_u007Au02E0,zˠ,,zˠ,velarized voiced alveolar sibilant fricative consonant
dd_u0256u0256,ɖɖ,,ɖɖ,from voiced retroflex stop to voiced retroflex stop cluster
m_u006Du0329,m̩,,m̩,syllabic voiced bilabial nasal consonant
u_u0075u0330u0303,ṵ̃,,ṵ̃,nasalized creaky rounded close back vowel
i_u0069u02D0u0259,iːə,,iːə,from long unrounded close front to unrounded mid central diphthong
oou_u0254u006Fu0075u0303,ɔoũ,,,
ng_u014B,ŋ,,ŋ,voiced velar nasal consonant
ou_u006Fu028A,oʊ,,oʊ,from rounded close-mid back to rounded near-close near-back diphthong
t_u0074u032A,t̪,,t̪,voiceless dental stop consonant
mw_u006Du02B7u02D0,mʷː,,mʷː,labialized long voiced bilabial nasal consonant
n_u0235,ȵ,,ȵ,voiced alveolo-palatal nasal consonant
bg_u0062u02E0,bˠ,,bˠ,velarized voiced bilabial stop consonant
s_u0073u003A,s:,,sː,long voiceless alveolar sibilant fricative consonant
ts_u0074u0282,tʂ,,ʈʂ,voiceless retroflex sibilant affricate consonant
xj_u0078u02B2,xʲ,,xʲ,palatalized voiceless velar fricative consonant
n_u0272,ɲ,,ɲ,voiced palatal nasal consonant
o_u00F8u02D0u02D0,øːː,,øːː,ultra-long rounded close-mid front vowel
d_u0256,ɖ,,ɖ,voiced retroflex stop consonant
w_u0295u02B7u0294,ʕʷʔ,,,
u_u028Au0303,ʊ̃,,ʊ̃,nasalized rounded near-close near-back vowel
g_u0067u030A,g̊,,g̊,devoiced voiced velar stop consonant
au_u0250u0075,ɐu,,ɐu,from unrounded near-open central to rounded close back diphthong
n_u0273u02D0,ɳː,,ɳː,long voiced retroflex nasal consonant
ggh_u0067u0067u02B1,ggʱ,,ggʱ,from voiced velar stop to breathy voiced velar stop cluster
ndz_u004Eu0064u007A,Ndz,,,
i_u026Au0259,ɪə,,ɪə,from unrounded near-close near-front to unrounded mid central diphthong
p_u0070u02BC,pʼ,,pʼ,voiceless bilabial ejective stop consonant
nt_u006Eu032Au0074u032A,n̪t̪,,n̪t̪,from voiced dental nasal to voiceless dental stop cluster
dw_u0064u02B7,dʷ,,dʷ,labialized voiced alveolar stop consonant
z_u007Au032A,z̪,,z̪,voiced dental sibilant fricative consonant
tc_u0074u0320u0255u02D0,t̠ɕː,,,
u_u0259u0289,əʉ,,əʉ,from unrounded mid central to rounded close central diphthong
y_u0265,ɥ,,ɥ,voiced labio-palatal approximant consonant
we_u0077u0065,we,,,
f_u0278,ɸ,,ɸ,voiceless bilabial fricative consonant
i_u0069u0259,iə,,iə,from unrounded close front to unrounded mid central diphthong
dz_u0064u0320u0291,d̠ʑ,,,
w_u0294u0077,ʔw,,,
rw_u027Au02B7,ɺʷ,,ɺʷ,labialized voiced alveolar lateral tap consonant
au_u0250u0289,ɐʉ,,ɐʉ,from unrounded near-open central to rounded close central diphthong
oe_u0153u031E,œ̞,,œ̞,lowered rounded open-mid front vowel
ei_u025Bu0069,ɛi,,ɛi,from unrounded open-mid front to unrounded close front diphthong
ai_u0061u02D0u0069,aːi,,aːi,from long unrounded open front to unrounded close front diphthong
tsh_u0074u0283u033Au02B0,tʃ̺ʰ,,tʃ̺ʰ,aspirated voiceless apical post-alveolar sibilant affricate consonant
oe_u0276,ɶ,,ɶ,rounded open front vowel
nd_u006Eu032Au0064u032A,n̪d̪,,n̪d̪,from voiced dental nasal to voiced dental stop cluster
j_u02C0u006A,ˀj,,ˀj,pre-glottalized voiced palatal approximant consonant
s_u0073,s,,s,voiceless alveolar sibilant fricative consonant
u_u0075u0319,u̙,,u̙,retracted-tongue-root rounded close back vowel
a_u0061u0324u02D0,a̤ː,,a̤ː,long breathy unrounded open front vowel
kj_u006Bu02B2,kʲ,,kʲ,palatalized voiceless velar stop consonant
dz_u0064u032Au007Au032A,d̪z̪,,dz̪,voiced dental sibilant affricate consonant
m_u006Du02D0,mː,,mː,long voiced bilabial nasal consonant
sw_u0073u02B7,sʷ,,sʷ,labialized voiceless alveolar sibilant fricative consonant
ngj_u014Bu02B2,ŋʲ,,ŋʲ,palatalized voiced velar nasal consonant
s_u0073u02D0,sː,,sː,long voiceless alveolar sibilant fricative consonant
bh_u0062u02B1u02D0,bʱː,,bʱː,long breathy voiced bilabial stop consonant
oey_u0153u0079,œy,,œy,from rounded open-mid front to rounded close front diphthong
pm_u0070u006D,pm,,,
u_u0075u02D0u02D0,uːː,,uːː,ultra-long rounded close back vowel
dzh_u0064u0320u0291u02B1u02D0,d̠ʑʱː,,,
b_u0294u03B2,ʔβ,,,
jau_u006Au0061u0075u032F,jau̯,,,
u_u0264u02D0,ɤː,,ɤː,long unrounded close-mid back vowel
rw_u027Eu02B7,ɾʷ,,ɾʷ,labialized voiced alveolar tap consonant
l_u006Cu003A,l:,,lː,long voiced alveolar lateral approximant consonant
dzh_u0064u0292u02B1,dʒʱ,,dʒʱ,breathy voiced post-alveolar sibilant affricate consonant
ts_u0074u0283u02BC,tʃʼ,,tʃʼ,voiceless post-alveolar ejective sibilant affricate consonant
au_u0061u0075,au,,au,from unrounded open front to rounded close back diphthong
i_u0069u031E,i̞,,i̞,lowered unrounded close front vowel
mf_u006Du0066,mf,,,
oy_u00F8u0079,øy,,øy,from rounded close-mid front to rounded close front diphthong
tsh_u0074u0282u02B0,tʂʰ,,ʈʂʰ,aspirated voiceless retroflex sibilant affricate consonant
n_u006Eu032Au02D0,n̪ː,,n̪ː,long voiced dental nasal consonant
l_u006Cu0294,lʔ,,,
w_u0077u02D0,wː,,wː,long voiced labio-velar approximant consonant
a_u0252,ɒ,,ɒ,rounded open back vowel
w_u026Fu0259,ɯə,,ɯə,from unrounded close back to unrounded mid central diphthong
e_u0258u0303,ɘ̃,,ɘ̃,nasalized unrounded close-mid central vowel
t_u0074u032Au02D0,t̪ː,,t̪ː,long voiceless dental stop consonant
ei_u0065u031Eu026A,e̞ɪ,,e̞ɪ,from unrounded mid front to unrounded near-close near-front diphthong
u_u0075u0303,ũ,,ũ,nasalized rounded close back vowel
e_u0065u0330u0303,ḛ̃,,ḛ̃,nasalized creaky unrounded close-mid front vowel
ig_u026Au02E0,ɪˠ,,ɪˠ,velarized unrounded near-close near-front vowel
tch_u0074u0255u02B0,tɕʰ,,tɕʰ,aspirated voiceless alveolo-palatal sibilant affricate consonant
au_u0251u0075u02D0,ɑuː,,ɑuː,from unrounded open back to long rounded close back diphthong
a_u0061u0303u02E4,ãˤ,,ãˤ,pharyngealized nasalized unrounded open front vowel
eg_u025Bu02E0u02D0,ɛˠː,,ɛˠː,long velarized unrounded open-mid front vowel
e_u025Bu02D0,ɛː,,ɛː,long unrounded open-mid front vowel
o_u006Fu0324,o̤,,o̤,breathy rounded close-mid back vowel
dzj_u0064u0292u02B2,dʒʲ,,dʒʲ,palatalized voiced post-alveolar sibilant affricate consonant
n_u006Eu0325,n̥,,n̥,devoiced voiced alveolar nasal consonant
ai_u0061u0069u032F,ai̯,,ai̯,from unrounded open front to non-syllabic unrounded close front diphthong
w_u0270,ɰ,,ɰ,voiced velar approximant consonant
r_u0294u0072u0325,ʔr̥,,,
tn_u1D57u032Au006Eu032A,ᵗ̪n̪,,,
kl_u006Bu006C,kl,,,
oe_u0153u0303u02D0,œ̃ː,,œ̃ː,long nasalized rounded open-mid front vowel
e_u025Cu02D0,ɜː,,ɜː,long unrounded open-mid central vowel
_u0259u0303,ə̃,,ə̃,nasalized unrounded mid central vowel
oj_u006Fu006A,oj,,,
l_u026B,ɫ,,lˠ,velarized voiced alveolar lateral approximant consonant
eo_u0065u0254,eɔ,,eɔ,from unrounded close-mid front to rounded open-mid back diphthong
w_u028D,ʍ,,ʍ,voiceless labio-velar approximant consonant
r_u027B,ɻ,,ɻ,voiced retroflex approximant consonant
tr_u0288u027D,ʈɽ,,,
g_u0263,ɣ,,ɣ,voiced velar fricative consonant
s_u0283u02D0,ʃː,,ʃː,long voiceless post-alveolar sibilant fricative consonant
j_u025F,ɟ,,ɟ,voiced palatal stop consonant
v_u0076u033C,v̼,,,
h_u01C1u02B0,ǁʰ,,ǁʰ,aspirated voiceless alveolar lateral click consonant
ia_u0069u0250,iɐ,,iɐ,from unrounded close front to unrounded near-open central diphthong
u_u0289u031F,ʉ̟,,ʉ̟,advanced rounded close central vowel
u_u0264,ɤ,,ɤ,unrounded close-mid back vowel
e_u025Bu0259,ɛə,,ɛə,from unrounded open-mid front to unrounded mid central diphthong
h_u0068u02D0,hː,,hː,long voiceless glottal fricative consonant
d_u0064u0325,d̥,,d̥,devoiced voiced alveolar stop consonant
i_u0268u0303,ɨ̃,,ɨ̃,nasalized unrounded close central vowel
rg_u027Eu02E0,ɾˠ,,ɾˠ,velarized voiced alveolar tap consonant
a_u0061u0324,a̤,,a̤,breathy unrounded open front vowel
dj_u0064u032Au02B2,d̪ʲ,,d̪ʲ,palatalized voiced dental stop consonant
dh_u0256u02B1,ɖʱ,,ɖʱ,breathy voiced retroflex stop consonant
ao_u0251u0254u032F,ɑɔ̯,,ɑɔ̯,from unrounded open back to non-syllabic rounded open-mid back diphthong
h_u01C0u02B0,ǀʰ,,ǀʰ,aspirated voiceless dental click consonant
au_u0061u02D0u0075,aːu,,aːu,from long unrounded open front to rounded close back diphthong
h_u029Cu02D0,ʜː,,ʜː,long voiceless epiglottal fricative consonant
ndz_u004Eu0064u033Bu007Au033B,Nd̻z̻,,,
ua_u0075u0250,uɐ,,uɐ,from rounded close back to unrounded near-open central diphthong
n_u207Fu01C1,ⁿǁ,,ⁿǁ,pre-nasalized voiceless alveolar lateral click consonant
o_u006Fu0330,o̰,,o̰,creaky rounded close-mid back vowel
r_u027A,ɺ,,ɺ,voiced alveolar lateral tap consonant
w_u026Fu0324,ɯ̤,,ɯ̤,breathy unrounded close back vowel
l_u026Du02D0,ɭː,,ɭː,long voiced retroflex lateral approximant consonant
r_u0279,ɹ,,ɹ,voiced alveolar approximant consonant
i_u0268,ɨ,,ɨ,unrounded close central vowel
iau_u0069u0061u0075,iau,,,
_u01C1,ǁ,,ǁ,voiceless alveolar lateral click consonant
tsts_u0074u0283u0074u0283,tʃtʃ,,,
o_u0254u02D0u0259,ɔːə,,ɔːə,from long rounded open-mid back to unrounded mid central diphthong
dg_u0064u032Au02E0,d̪ˠ,,d̪ˠ,velarized voiced dental stop consonant
tstsh_u0074u0283u0074u0283u02B0,tʃtʃʰ,,,
dh_u0064u02B1,dʱ,,dʱ,breathy voiced alveolar stop consonant
ts_u0074u0073u0027,ts',,tsʼ,voiceless alveolar ejective sibilant affricate consonant
sw_u0073u02B7u02D0,sʷː,,sʷː,labialized long voiceless alveolar sibilant fricative consonant
ntj_u006Eu0074u02B2,ntʲ,,ntʲ,from voiced alveolar nasal to palatalized voiceless alveolar stop cluster
j_u006Au028C,jʌ,,,
r_u0294u0072,ʔr,,,
y_u0079u0259u032F,yə̯,,yə̯,from rounded close front to non-syllabic unrounded mid central diphthong
